table_name,column_name,description
coachnotification,coachnotification,Microservice that supply data of the chat record (Glucose Guide app) on the Data Stream page in StudyBase 
coachnotification,savvy_pid,Unique (persistent) person identifier
coachnotification,savvy_did,Unique (periodically changed) person identifier
coachnotification,uhgrd_load_id,UHGRD internal row ID
coachnotification,load_time_utc,UHGRD internal ingestion UTC
coachnotification,coachnotificationid,Primary key
coachnotification,participantid,Participant ID (please see participant table)
coachnotification,refnotificationid,Not provided by source
coachnotification,isread,Not provided by source
coachnotification,lastnotificationsent,Not provided by source
coachnotification,lastnotificationread,Not provided by source
coachnotification,row_created_date_time_utc,UTC Datetime the record was created
coachnotification,row_modified_date_time_utc,UTC Datetime the record was modified
cohort,cohort,Reference list of all cohorts binded to a program. Hierarchy = Program > Cohort > Studygroup
cohort,uhgrd_load_id,UHGRD internal row ID
cohort,load_time_utc,UHGRD internal ingestion UTC
cohort,cohortid,Primary key
cohort,programid,The programid on where this cohort is under at (please see program table)
cohort,cohortname,The name of the cohort
cohort,cohortdescription,Description what cohort is all about
cohort,rowcreateddatetime,UTC Datetime the record was created
cohort,rowcreateddatetimeoffset,Offset for the datetime the record was created
cohort,jsonschema,Unknown/last value for this was on 2017-09-08 03:24:49
cohort,refparticipanttypeid,The type of participants under this cohort (please see refparticipanttype table)
cohortfirebaseapp,cohortfirebaseapp,Cohort using the firebaseapp
cohortfirebaseapp,uhgrd_load_id,UHGRD internal row ID
cohortfirebaseapp,load_time_utc,UHGRD internal ingestion UTC
cohortfirebaseapp,cohortfirebaseappid,Primary key
cohortfirebaseapp,cohortid,Cohort that will be using the firebaseapp(please see cohort table)
cohortfirebaseapp,firebaseappid,Will be used to link cohort from the firebaseappbuild table to get the key to use firebase
cohortfirebaseapp,deactivateddatetimeutc,UTC datetime when the cohort was deactivated to use the firebase key
cohortfirebaseapp,deactivateddatetimetimeoffset,Offset for the datetime when the cohort was deactivated to use the firebase key
cohortsetting,cohortsetting,Custom settings for each cohort
cohortsetting,uhgrd_load_id,UHGRD internal row ID
cohortsetting,load_time_utc,UHGRD internal ingestion UTC
cohortsetting,cohortsettingid,Primary key
cohortsetting,cohortid,Cohort assciated with the setting(please see cohort table)
cohortsetting,settingid,Setting for the cohort(please see setting table)
cohortsetting,rowcreatedmemberid,Member who created the record(please see studyauth.member table)
cohortsetting,rowcreateddatetime,UTC Datetime the record was created
cohortsetting,rowmodifiedmemberid,Member who modified the record(please see studyauth.member table)
cohortsetting,rowmodifieddatetime,UTC Datetime the record was modified
datapoint,datapoint,Not provided by source
datapoint,uhgrd_load_id,UHGRD internal row ID
datapoint,load_time_utc,UHGRD internal ingestion UTC
datapoint,dp_id,Not provided by source
datapoint,dpt_id,Not provided by source
datapoint,name,Not provided by source
datapoint,value,Not provided by source
datapoint,source,Not provided by source
datapointtype,datapointtype,Not provided by source
datapointtype,uhgrd_load_id,UHGRD internal row ID
datapointtype,load_time_utc,UHGRD internal ingestion UTC
datapointtype,dpt_id,Not provided by source
datapointtype,type,Not provided by source
errorlog,errorlog,Table of system errors
errorlog,uhgrd_load_id,UHGRD internal row ID
errorlog,load_time_utc,UHGRD internal ingestion UTC
errorlog,errorlogid,Primary key
errorlog,errortype,The type of error occured
errorlog,errorsource,Resource where the error occured
errorlog,stacktrace,Details about the error
